,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.50,1.00,4.25,1.50,91.85,0.1,0.00,52.6,1022.385,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,7,0,11.80,12.21,19.2,27/04/2017 09:52:21,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.50,2.00,95.06,0.1,0.00,-19.2,-735.515,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,8,0,11.80,12.21,19.2,27/04/2017 09:52:21,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.00,2.50,76.11,0.1,0.00,17.7,-147.237,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,9,0,11.80,12.21,19.2,27/04/2017 09:52:22,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.50,3.00,102.09,0.1,0.00,-34.4,-78.994,72.93,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,125,9,1.7,00.000000,00.000000,17042705,10,0,11.80,12.21,19.2,27/04/2017 09:52:22,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.00,3.50,90.57,0.1,0.00,8.7,-24.676,51.36,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,88,5,1.7,00.000000,00.000000,17042705,1,0,11.89,12.37,19.2,27/04/2017 09:52:30,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.50,4.00,99.92,0.0,0.00,24.0,-15.556,51.36,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,88,5,1.7,00.000000,00.000000,17042705,2,0,11.89,12.37,19.2,27/04/2017 09:52:30,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,1.50,2.00,111.50,0.7,0.00,-125.6,-3230.615,85.34,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,173,15,2.0,00.000000,00.000000,17042705,1,0,11.65,12.35,23.1,27/04/2017 09:52:40,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,2.00,2.50,71.31,0.3,0.00,9.3,-295.159,85.34,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,173,15,2.0,00.000000,00.000000,17042705,2,0,11.65,12.35,23.1,27/04/2017 09:52:40,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,2.50,3.00,100.41,0.3,0.00,-37.6,-138.539,85.34,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,173,15,2.0,00.000000,00.000000,17042705,3,0,11.65,12.35,23.1,27/04/2017 09:52:40,0.0,0.00,0.0
,Mixed / non conventional,0.75,1.25,3.00,3.50,94.24,0.3,0.00,7.1,-59.101,85.34,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,173,15,2.0,00.000000,00.000000,17042705,4,0,11.65,12.35,23.1,27/04/2017 09:52:40,0.0,0.00,0.0
